,variant_and_allele,p_value,trait,gene,location
408,rs145848414-<b>A</b>,7e-08,alzheimer disease,HIGD1AP3,5:174587111
408,rs145848414-<b>A</b>,7e-08,alzheimer disease,SUMO2P6,5:174587111
664,rs1892676-<b>C</b>,7e-08,alzheimer disease,APP-DT,21:26221221
454,rs143258881-<b>?</b>,7e-08,alzheimer disease,GPC6,13:93293605
425,rs12091371-<b>?</b>,7e-08,alzheimer disease,FMN2,1:240441752
489,rs6448799-<b>T</b>,7e-08,alzheimer disease,UNKNOWN,4:11628425
492,rs7818382-<b>T</b>,8e-08,alzheimer disease,NDUFAF6,8:95041772
461,rs4794202-<b>?</b>,8e-08,alzheimer disease,SP6,17:47853173
144,rs4735340-<b>T</b>,9e-08,late-onset alzheimers disease,NDUFAF6,8:94964023
681,rs7195572-<b>?</b>,9e-08,alzheimer disease,MTSS2,16:70667508
695,rs569584007-<b>?</b>,9e-08,alzheimer disease,HNRNPKP3,11:43145292
225,rs6014724-<b>G</b>,9e-08,alzheimer disease,CASS4,20:56423488
677,rs17645935-<b>A</b>,9e-08,alzheimer disease,SPPL2A,15:50699812
677,rs17645935-<b>A</b>,9e-08,alzheimer disease,RN7SL354P,15:50699812
279,rs2732703-<b>?</b>,1e-07,alzheimer disease,ARL17B,17:46275856
526,rs639012-<b>G</b>,1e-07,alzheimer disease,PICALM,11:85970540
17,rs148619105-<b>?</b>,1e-07,late-onset alzheimers disease,TECTA,11:121146015
428,rs538867-<b>?</b>,1e-07,alzheimer disease,MOBP,3:39471787
40,rs150631144-<b>T</b>,1e-07,late-onset alzheimers disease,RNU6-909P,5:28577827
330,rs17169634-<b>?</b>,1e-07,alzheimer disease,BMPER,7:34054385
252,rs10498633-<b>T</b>,1e-07,alzheimer disease,SLC24A4,14:92460608
12,rs11828907-<b>C</b>,2e-07,late-onset alzheimers disease,AHNAK,11:62521506
245,rs1476679-<b>C</b>,2e-07,alzheimer disease,ZCWPW1,7:100406823
254,rs7274581-<b>C</b>,2e-07,alzheimer disease,CASS4,20:56443204
96,rs137869973-<b>T</b>,2e-07,late-onset alzheimers disease,KCTD9P6,8:31236084
430,rs340635-<b>?</b>,2e-07,alzheimer disease,AFF1,4:87010252
332,rs62209-<b>C</b>,2e-07,alzheimer disease,CELF2,10:10958376
442,rs1861525-<b>?</b>,2e-07,alzheimer disease,CYCS,7:25121983
694,rs184179037-<b>?</b>,2e-07,alzheimer disease,WDR70,5:37483838
542,rs476428-<b>G</b>,2e-07,alzheimer disease,ACSL6,5:131965922
538,rs382216-<b>C</b>,2e-07,alzheimer disease,CDC42SE2,5:131351444
416,rs2573905-<b>?</b>,2e-07,alzheimer disease,PCDH11X,X:92147221
624,rs440277-<b>G</b>,2e-07,alzheimer disease,NECTIN2,19:44857967
642,rs2298369-<b>?</b>,3e-07,alzheimer disease,MIR155HG,21:25583969
642,rs2298369-<b>?</b>,3e-07,alzheimer disease,MRPL39,21:25583969
414,rs11610206-<b>?</b>,3e-07,alzheimer disease,PCED1B,12:47245743
414,rs11610206-<b>?</b>,3e-07,alzheimer disease,PPIAP45,12:47245743
404,rs2456930-<b>G</b>,3e-07,alzheimer disease,TLN2,15:62395140
451,rs147845115-<b>?</b>,3e-07,alzheimer disease,SLC4A8,12:51484976
152,rs35868327-<b>T</b>,3e-07,late-onset alzheimers disease,UNKNOWN,5:53369400
153,rs71618613-<b>A</b>,3e-07,late-onset alzheimers disease,LINC02109,5:29005878
488,rs6678275-<b>C</b>,3e-07,alzheimer disease,UNKNOWN,1:193656103
495,rs7295246-<b>G</b>,3e-07,alzheimer disease,ADAMTS20,12:43573874
495,rs7295246-<b>G</b>,3e-07,alzheimer disease,EEF1A1P17,12:43573874
496,rs2337406-<b>C</b>,3e-07,alzheimer disease,IGHV3-71,14:106772332
496,rs2337406-<b>C</b>,3e-07,alzheimer disease,IGHV2-70,14:106772332
497,rs8035452-<b>T</b>,3e-07,alzheimer disease,SPPL2A,15:50748601
500,chr17:61538148-<b>A</b>,3e-07,alzheimer disease,UNKNOWN,Mapping not available
565,rs11708767-<b>A</b>,3e-07,alzheimer disease,MED12L,3:151401938
541,rs142958719-<b>G</b>,3e-07,alzheimer disease,MEIKIN,5:131897266
457,rs74006954-<b>?</b>,3e-07,alzheimer disease,GABRG3,15:27467498
395,rs3748140-<b>?</b>,3e-07,alzheimer disease,PPP1R3B,8:9141509
263,rs28868104-<b>?</b>,4e-07,alzheimer disease,UNKNOWN,3:104241993
460,rs9934540-<b>?</b>,4e-07,alzheimer disease,VAT1L,16:77842866
436,rs146579248-<b>?</b>,4e-07,alzheimer disease,LINC01184,5:128046610
589,rs62402815-<b>?</b>,4e-07,alzheimer disease,LNC-LBCS,6:19350484
701,rs115550680-<b>?</b>,4e-07,alzheimer disease,ABCA7,19:1050421
145,rs10467994-<b>T</b>,4e-07,late-onset alzheimers disease,SPPL2A,15:50716490
258,rs2666895-<b>?</b>,4e-07,alzheimer disease,MIR7154,11:45689480
258,rs2666895-<b>?</b>,4e-07,alzheimer disease,CHST1,11:45689480
348,rs249153-<b>C</b>,4e-07,alzheimer disease,NDUFA12,12:94930613
540,rs758324-<b>T</b>,4e-07,alzheimer disease,FNIP1,5:131773852
74,rs181696879-<b>A</b>,4e-07,late-onset alzheimers disease,MCPH1-AS1,8:6680850
453,rs1399439-<b>?</b>,4e-07,alzheimer disease,ANO4,12:100827461
498,rs74615166-<b>C</b>,4e-07,alzheimer disease,TRIP4,15:64433291
118,rs147150305-<b>A</b>,4e-07,late-onset alzheimers disease,PLCL1,2:198252846
691,rs9516245-<b>?</b>,4e-07,alzheimer disease,GPC6,13:93507547
499,rs7225151-<b>A</b>,4e-07,alzheimer disease,SCIMP,17:5233752
499,rs7225151-<b>A</b>,4e-07,alzheimer disease,ZNF594-DT,17:5233752
692,rs3745495-<b>?</b>,4e-07,alzheimer disease,VRK3,19:50021075
429,rs78647349-<b>?</b>,5e-07,alzheimer disease,STK32B,4:5235426
446,rs7009219-<b>?</b>,5e-07,alzheimer disease,ST18,8:52301705
97,rs72840936-<b>C</b>,5e-07,late-onset alzheimers disease,STEAP3-AS1,2:119266116
290,rs9271192-<b>?</b>,5e-07,alzheimer disease,HLA-DRB1,6:32610753
290,rs9271192-<b>?</b>,5e-07,alzheimer disease,HLA-DQA1,6:32610753
66,rs144573434-<b>T</b>,5e-07,late-onset alzheimers disease,UNKNOWN,9:81079667
466,rs75617873-<b>?</b>,5e-07,alzheimer disease,PARVB,22:44130225
699,rs79537509-<b>?</b>,5e-07,alzheimer disease,LINC02152,16:8238399
696,rs115816806-<b>?</b>,5e-07,alzheimer disease,ACER3,11:76830796
696,rs115816806-<b>?</b>,5e-07,alzheimer disease,TSKU,11:76830796
444,rs11770757-<b>?</b>,5e-07,alzheimer disease,EXOC4,7:134063193
84,rs56249755-<b>A</b>,5e-07,late-onset alzheimers disease,FAM240B,9:38711009
567,rs78358979-<b>A</b>,5e-07,alzheimer disease,UNKNOWN,6:86795185
140,rs72842919-<b>A</b>,5e-07,late-onset alzheimers disease,RPS20P10,2:71938176
70,rs141976661-<b>A</b>,5e-07,late-onset alzheimers disease,LINC00624,1:147483513
534,rs16847609-<b>A</b>,5e-07,alzheimer disease,HSPA8P9,3:137931894
534,rs16847609-<b>A</b>,5e-07,alzheimer disease,CLDN18,3:137931894
693,rs115684722-<b>?</b>,6e-07,alzheimer disease,RN7SL299P,1:232240417
448,rs118048115-<b>?</b>,6e-07,alzheimer disease,PLPP4,10:120519964
65,rs116050881-<b>T</b>,6e-07,late-onset alzheimers disease,LINC01725,1:29684252
438,rs117780815-<b>?</b>,6e-07,alzheimer disease,NKAIN2,6:124005082
16,rs56009889-<b>?</b>,6e-07,late-onset alzheimers disease,ATM,11:108326169
16,rs56009889-<b>?</b>,6e-07,late-onset alzheimers disease,C11orf65,11:108326169
491,rs9381040-<b>C</b>,6e-07,alzheimer disease,TREML2,6:41186912
491,rs9381040-<b>C</b>,6e-07,alzheimer disease,TREM2,6:41186912
362,rs690705-<b>?</b>,6e-07,alzheimer disease,VDAC1P12,13:34080781
509,rs3752246-<b>G</b>,6e-07,alzheimer disease,ABCA7,19:1056493
539,rs6890695-<b>G</b>,6e-07,alzheimer disease,RAPGEF6,5:131552731
494,rs10751667-<b>T</b>,6e-07,alzheimer disease,AP2A2,11:941941
5,rs7232-<b>?</b>,6e-07,late-onset alzheimers disease,MS4A6A,11:60173126
349,rs13178362-<b>T</b>,7e-07,alzheimer disease,HPRT1P2,5:30178906
450,rs326946-<b>?</b>,7e-07,alzheimer disease,ARHGAP20,11:110628530
331,rs75847378-<b>?</b>,7e-07,alzheimer disease,SLC8A1-AS1,2:39954377
447,rs4836694-<b>?</b>,7e-07,alzheimer disease,NCS1,9:130177513
490,rs72807343-<b>T</b>,7e-07,alzheimer disease,SQSTM1,5:179811261
445,rs73660619-<b>?</b>,8e-07,alzheimer disease,CSMD1,8:3230651
108,rs144998240-<b>A</b>,8e-07,late-onset alzheimers disease,COL25A1,4:109251730
83,rs62179067-<b>T</b>,8e-07,late-onset alzheimers disease,SESTD1,2:179270456
344,rs12361953-<b>C</b>,8e-07,alzheimer disease,LUZP2,11:24589584
112,rs142835438-<b>A</b>,8e-07,late-onset alzheimers disease,ZBTB10,8:80555470
112,rs142835438-<b>A</b>,8e-07,late-onset alzheimers disease,RPSAP47,8:80555470
51,rs7313581-<b>T</b>,8e-07,late-onset alzheimers disease,KRAS,12:25269783
161,rs182921547-<b>?</b>,8e-07,late-onset alzheimers disease,UNKNOWN,4:32832588
435,rs143954261-<b>?</b>,8e-07,alzheimer disease,MEGF10,5:127393758
377,rs10850408-<b>?</b>,9e-07,alzheimer disease,UNKNOWN,12:114942588
557,rs71380849-<b>A</b>,9e-07,alzheimer disease,CDR2L,17:74979653
557,rs71380849-<b>A</b>,9e-07,alzheimer disease,HID1-AS1,17:74979653
690,rs2633682-<b>?</b>,9e-07,alzheimer disease,UNKNOWN,3:104690364
424,rs2421847-<b>?</b>,9e-07,alzheimer disease,PRRC2C,1:171588461
689,rs168193-<b>?</b>,9e-07,alzheimer disease,RN7SL553P,3:5260392
670,rs7153315-<b>C</b>,9e-07,alzheimer disease,IGHG1,14:105729382
670,rs7153315-<b>C</b>,9e-07,alzheimer disease,IGHEP1,14:105729382
123,rs115798104-<b>A</b>,9e-07,late-onset alzheimers disease,MECOM,3:169273046
434,rs116348108-<b>?</b>,9e-07,alzheimer disease,DMXL1,5:119099432
633,rs912322-<b>A</b>,1e-06,alzheimer disease,MYO16,13:109155938
337,rs4145462-<b>T</b>,1e-06,alzheimer disease,MPZL1,1:167749262
48,rs3820443-<b>T</b>,1e-06,late-onset alzheimers disease,PIFO,1:111350283
350,rs474951-<b>T</b>,1e-06,alzheimer disease,MS4A2,11:60071148
350,rs474951-<b>T</b>,1e-06,alzheimer disease,MS4A3,11:60071148
114,rs921390-<b>T</b>,1e-06,late-onset alzheimers disease,UNKNOWN,5:4515659
360,rs7539409-<b>?</b>,1e-06,alzheimer disease,LINC01725,1:83789052
660,rs5969117-<b>C</b>,1e-06,alzheimer disease,UNKNOWN,X:87181248
284,rs10498633-<b>?</b>,1e-06,alzheimer disease,SLC24A4,14:92460608
341,rs11983798-<b>T</b>,1e-06,alzheimer disease,ATXN7L1,7:105640741
342,rs6468852-<b>G</b>,1e-06,alzheimer disease,MAILR,8:102963761
41,rs8077028-<b>T</b>,1e-06,late-onset alzheimers disease,CEP295NL,17:78891959
41,rs8077028-<b>T</b>,1e-06,late-onset alzheimers disease,TIMP2,17:78891959
21,rs73865608-<b>A</b>,1e-06,late-onset alzheimers disease,LINC02273,4:152043740
21,rs73865608-<b>A</b>,1e-06,late-onset alzheimers disease,RNA5SP169,4:152043740
255,rs243034-<b>C</b>,1e-06,alzheimer disease,MIR4432HG,2:60375757
632,rs35242772-<b>C</b>,1e-06,alzheimer disease,MIR302F,18:30214382
352,rs1992269-<b>A</b>,1e-06,alzheimer disease,AIDAP3,18:1872316
549,rs59616746-<b>C</b>,1e-06,alzheimer disease,SH2D4B,10:80629227
604,rs2233083-<b>?</b>,1e-06,alzheimer disease,MAPK7,17:19383150
697,rs75739461-<b>?</b>,1e-06,alzheimer disease,RERGL,12:18318612
697,rs75739461-<b>?</b>,1e-06,alzheimer disease,PIK3C2G,12:18318612
443,rs2392492-<b>?</b>,1e-06,alzheimer disease,ELMO1,7:37325592
391,rs12808148-<b>?</b>,1e-06,alzheimer disease,MMP12,11:102862432
391,rs12808148-<b>?</b>,1e-06,alzheimer disease,MMP3,11:102862432
109,rs138543081-<b>T</b>,1e-06,late-onset alzheimers disease,ZNF462,9:107043881
110,rs192013290-<b>T</b>,1e-06,late-onset alzheimers disease,HMCN1,1:185780742
88,rs76816469-<b>T</b>,1e-06,late-onset alzheimers disease,CDH1,16:68759780
467,rs17172199-<b>?</b>,1e-06,alzheimer disease,HECW1,7:43337677
353,rs802571-<b>T</b>,1e-06,alzheimer disease,CNTNAP2,7:146265094
23,rs193129245-<b>A</b>,1e-06,late-onset alzheimers disease,UNKNOWN,6:23318629
244,rs2718058-<b>G</b>,1e-06,alzheimer disease,GPR141,7:37801932
244,rs2718058-<b>G</b>,1e-06,alzheimer disease,EPDR1,7:37801932
264,rs1925458-<b>?</b>,1e-06,alzheimer disease,UNKNOWN,6:23378723
566,rs4533991-<b>T</b>,2e-06,alzheimer disease,UNKNOWN,6:51233850
120,rs142660142-<b>T</b>,2e-06,late-onset alzheimers disease,LINGO1,15:77611050
547,rs2279590-<b>C</b>,2e-06,alzheimer disease,CLU,8:27598736
568,rs6978679-<b>A</b>,2e-06,alzheimer disease,CDHR3,7:106078297
568,rs6978679-<b>A</b>,2e-06,alzheimer disease,SYPL1,7:106078297
121,rs139638356-<b>T</b>,2e-06,late-onset alzheimers disease,UNKNOWN,9:80903300
562,rs4298437-<b>A</b>,2e-06,alzheimer disease,RELN,7:103985430
122,rs144167489-<b>T</b>,2e-06,late-onset alzheimers disease,SUMO1P2,1:168874774
122,rs144167489-<b>T</b>,2e-06,late-onset alzheimers disease,LINC00626,1:168874774
356,rs7431992-<b>A</b>,2e-06,alzheimer disease,CACNA2D3,3:54319213
105,rs144464515-<b>C</b>,2e-06,late-onset alzheimers disease,ZNRF4,19:5417482
105,rs144464515-<b>C</b>,2e-06,late-onset alzheimers disease,PTPRS,19:5417482
287,rs1476679-<b>?</b>,2e-06,alzheimer disease,ZCWPW1,7:100406823
673,rs77501143-<b>T</b>,2e-06,alzheimer disease,MROH1,8:144197581
67,rs181228315-<b>A</b>,2e-06,late-onset alzheimers disease,TMEM94,17:75453551
298,rs1477307-<b>?</b> x rs4077746-<b>?</b>,2e-06,alzheimer disease,No mapped genes x TLN2,15:62623147
75,rs146322114-<b>A</b>,2e-06,late-onset alzheimers disease,PCSK6,15:101501820
644,rs6838792-<b>?</b>,2e-06,alzheimer disease,STK32B,4:5096839
85,rs115317194-<b>T</b>,2e-06,late-onset alzheimers disease,SLMAP,3:57830215
87,rs7698880-<b>C</b>,2e-06,late-onset alzheimers disease,UNC93B4,4:4148701
623,rs1871047-<b>A</b>,2e-06,alzheimer disease,NECTIN2,19:44848489
93,rs72998574-<b>T</b>,2e-06,late-onset alzheimers disease,R3HDM2P2,6:103969846
614,rs8103315-<b>?</b>,2e-06,alzheimer disease,BCL3,19:44750911
100,rs73239797-<b>A</b>,2e-06,late-onset alzheimers disease,RNU7-188P,7:96446404
100,rs73239797-<b>A</b>,2e-06,late-onset alzheimers disease,SEM1,7:96446404
54,rs184992198-<b>T</b>,2e-06,late-onset alzheimers disease,BNIP3P13,19:20064649
54,rs184992198-<b>T</b>,2e-06,late-onset alzheimers disease,ZNF90,19:20064649
532,rs16830122-<b>A</b>,2e-06,alzheimer disease,KCNN3,1:154713065
592,rs11969759-<b>?</b>,2e-06,alzheimer disease,TNXB,6:32053353
11,rs78541046-<b>?</b>,2e-06,late-onset alzheimers disease,RHBDF1,16:63029
62,rs147597631-<b>T</b>,2e-06,late-onset alzheimers disease,TCF15,20:566915
62,rs147597631-<b>T</b>,2e-06,late-onset alzheimers disease,CSNK2A1,20:566915
700,rs145848414-<b>?</b>,2e-06,alzheimer disease,HIGD1AP3,5:174587111
700,rs145848414-<b>?</b>,2e-06,alzheimer disease,SUMO2P6,5:174587111
288,rs2718058-<b>?</b>,2e-06,alzheimer disease,GPR141,7:37801932
288,rs2718058-<b>?</b>,2e-06,alzheimer disease,EPDR1,7:37801932
59,rs62177277-<b>T</b>,2e-06,late-onset alzheimers disease,SESTD1,2:179139721
111,rs144077517-<b>A</b>,2e-06,late-onset alzheimers disease,SCAPER,15:76352686
577,rs12450778-<b>?</b>,2e-06,alzheimer disease,EPOP,17:38658216
577,rs12450778-<b>?</b>,2e-06,alzheimer disease,SRCIN1,17:38658216
574,rs77104831-<b>?</b>,2e-06,alzheimer disease,FBXL13,7:102911421
58,rs73732514-<b>A</b>,2e-06,late-onset alzheimers disease,CTD-2194D22.4,5:1983817
117,rs145282773-<b>T</b>,2e-06,late-onset alzheimers disease,HMGA2,12:65859519
117,rs145282773-<b>T</b>,2e-06,late-onset alzheimers disease,HMGA2-AS1,12:65859519
528,rs2854437-<b>G</b>,2e-06,alzheimer disease,SORD,15:45065212
544,rs11761441-<b>G</b>,2e-06,alzheimer disease,UNKNOWN,7:82377
413,rs2061333-<b>?</b>,2e-06,alzheimer disease,ZNF225,19:44110055
413,rs2061333-<b>?</b>,2e-06,alzheimer disease,ZNF224,19:44110055
501,rs11159647-<b>?</b>,2e-06,alzheimer disease,UNKNOWN,14:84308865
233,rs10933431-<b>G</b>,2e-06,alzheimer disease,INPP5D,2:233117202
433,rs77636885-<b>?</b>,2e-06,alzheimer disease,CAMK4,5:111383489
440,rs75253868-<b>?</b>,2e-06,alzheimer disease,PLEKHG1,6:150781694
343,rs9969729-<b>A</b>,2e-06,alzheimer disease,SLC25A6P5,9:105869669
340,rs7638995-<b>A</b>,2e-06,alzheimer disease,FRMD4B,3:69124224
340,rs7638995-<b>A</b>,2e-06,alzheimer disease,LMOD3,3:69124224
427,rs78022502-<b>?</b>,2e-06,alzheimer disease,LIMS2,2:127638592
37,rs188392327-<b>A</b>,2e-06,late-onset alzheimers disease,UGT1A8,2:233651485
37,rs188392327-<b>A</b>,2e-06,late-onset alzheimers disease,UGT1A10,2:233651485
162,rs8111708-<b>?</b>,2e-06,late-onset alzheimers disease,ELL,19:18448066
370,rs17006206-<b>G</b>,2e-06,alzheimer disease,SLC4A1AP,2:27684606
138,rs139195876-<b>A</b>,2e-06,late-onset alzheimers disease,NACAP6,5:16262936
517,rs17366218-<b>A</b>,2e-06,alzheimer disease,PDE1A,2:182154019
134,rs183256737-<b>A</b>,2e-06,late-onset alzheimers disease,SEC24B-AS1,4:109373310
351,rs1552244-<b>A</b>,2e-06,alzheimer disease,FANCD2OS,3:10093893
351,rs1552244-<b>A</b>,2e-06,alzheimer disease,FANCD2,3:10093893
155,rs187857322-<b>?</b>,2e-06,late-onset alzheimers disease,OR7E59P,7:6869229
155,rs187857322-<b>?</b>,2e-06,late-onset alzheimers disease,OR7E136P,7:6869229
401,rs1448284-<b>T</b>,2e-06,alzheimer disease,MAPRE1P2,4:33078033
464,rs7245858-<b>?</b>,2e-06,alzheimer disease,PPIAP59,19:50927340
458,rs17301739-<b>?</b>,2e-06,alzheimer disease,LIPC-AS1,15:58438440
458,rs17301739-<b>?</b>,2e-06,alzheimer disease,LIPC,15:58438440
458,rs17301739-<b>?</b>,2e-06,alzheimer disease,ALDH1A2,15:58438440
257,rs10968750-<b>T</b>,2e-06,alzheimer disease,LINGO2,9:28753984
235,rs113260531-<b>A</b>,3e-06,alzheimer disease,ZNF594-DT,17:5235685
158,rs35833468-<b>?</b>,3e-06,late-onset alzheimers disease,EGLN3,14:33974720
687,rs7311672-<b>?</b>,3e-06,alzheimer disease,C1S,12:7057810
610,rs73165159-<b>?</b>,3e-06,alzheimer disease,CENPM,22:41950038
610,rs73165159-<b>?</b>,3e-06,alzheimer disease,LINC00634,22:41950038
345,rs472926-<b>C</b>,3e-06,alzheimer disease,CDON,11:126035363
64,rs147985478-<b>A</b>,3e-06,late-onset alzheimers disease,PRANCR,12:69997949
601,rs7963314-<b>?</b>,3e-06,alzheimer disease,LINC02414,12:131573284
135,rs79930850-<b>A</b>,3e-06,late-onset alzheimers disease,CASP12,11:104874043
136,rs143261188-<b>C</b>,3e-06,late-onset alzheimers disease,TENM4,11:78938571
666,rs3109899-<b>A</b>,3e-06,alzheimer disease,USP50,15:50532526
615,rs9862849-<b>?</b>,3e-06,alzheimer disease,UNKNOWN,3:66855351
402,rs11055612-<b>C</b>,3e-06,alzheimer disease,GRIN2B,12:13770394
156,rs192326911-<b>?</b>,3e-06,late-onset alzheimers disease,STAU2-AS1,8:73378103
156,rs192326911-<b>?</b>,3e-06,late-onset alzheimers disease,RDH10-AS1,8:73378103
115,rs150291119-<b>A</b>,3e-06,late-onset alzheimers disease,NAALADL2,3:174769522
259,rs3814837-<b>?</b>,3e-06,alzheimer disease,CATSPERB,14:91725006
468,rs3865444-<b>C</b>,3e-06,alzheimer disease,SIGLEC22P,19:51224706
468,rs3865444-<b>C</b>,3e-06,alzheimer disease,CD33,19:51224706
94,rs144471255-<b>A</b>,3e-06,late-onset alzheimers disease,RDX,11:110058188
520,rs9869689-<b>T</b>,3e-06,alzheimer disease,FBXO40,3:121607829
44,rs1034435-<b>A</b>,3e-06,late-onset alzheimers disease,TAFA5,22:48492443
49,rs846858-<b>A</b>,3e-06,late-onset alzheimers disease,IGSF23,19:44625528
265,rs75036080-<b>?</b>,3e-06,alzheimer disease,C12orf40,12:39882501
265,rs75036080-<b>?</b>,3e-06,alzheimer disease,SLC2A13,12:39882501
125,rs138449900-<b>C</b>,3e-06,late-onset alzheimers disease,CNTNAP5,2:123951121
125,rs138449900-<b>C</b>,3e-06,late-onset alzheimers disease,RN7SKP102,2:123951121
535,rs13146780-<b>C</b>,3e-06,alzheimer disease,RN7SL193P,4:43849075
38,rs192232892-<b>T</b>,3e-06,late-onset alzheimers disease,TBXAS1,7:139942249
421,rs727153-<b>C</b>,3e-06,alzheimer disease,LRAT,4:154733269
663,rs10426423-<b>C</b>,3e-06,alzheimer disease,NECTIN2,19:44844996
663,rs10426423-<b>C</b>,3e-06,alzheimer disease,BCAM,19:44844996
27,rs117760708-<b>T</b>,3e-06,late-onset alzheimers disease,JPH3,16:87653662
597,rs1497197-<b>?</b>,3e-06,alzheimer disease,LHX1-DT,17:36819274
563,rs11782819-<b>?</b>,3e-06,alzheimer disease,LINCR-0001,8:10477271
619,rs116593898-<b>?</b>,3e-06,alzheimer disease,SFT2D2,1:168232648
558,rs6110969-<b>T</b>,3e-06,alzheimer disease,PPIAP17,20:16216865
129,rs183291664-<b>T</b>,3e-06,late-onset alzheimers disease,SCAPER,15:76713822
289,rs10838725-<b>?</b>,3e-06,alzheimer disease,CELF1,11:47536319
374,rs2221154-<b>?</b>,3e-06,alzheimer disease,RBMS3,3:28887369
126,rs12661302-<b>C</b>,3e-06,late-onset alzheimers disease,UNKNOWN,6:103817252
90,rs853656-<b>T</b>,4e-06,late-onset alzheimers disease,RASSF8,12:25965239
20,rs141521929-<b>T</b>,4e-06,late-onset alzheimers disease,TUSC1,9:25669750
68,rs147285445-<b>T</b>,4e-06,late-onset alzheimers disease,ANKRD22,10:88850285
647,rs10794342-<b>?</b>,4e-06,alzheimer disease,AP2A2,11:924904
102,rs182972826-<b>T</b>,4e-06,late-onset alzheimers disease,SEC24B,4:109534350
646,rs4961664-<b>?</b>,4e-06,alzheimer disease,CCDC171,9:16161235
646,rs4961664-<b>?</b>,4e-06,alzheimer disease,C9orf92,9:16161235
160,rs19213255-<b>?</b>,4e-06,late-onset alzheimers disease,UNKNOWN,Mapping not available
28,rs187423924-<b>A</b>,4e-06,late-onset alzheimers disease,AQP4-AS1,18:26735845
26,rs141387448-<b>T</b>,4e-06,late-onset alzheimers disease,ZNF438,10:31115466
26,rs141387448-<b>T</b>,4e-06,late-onset alzheimers disease,LINC02664,10:31115466
164,rs6806784-<b>?</b>,4e-06,late-onset alzheimers disease,SENP7,3:101508591
613,rs2282079-<b>?</b>,4e-06,alzheimer disease,PAX5,9:37036250
613,rs2282079-<b>?</b>,4e-06,alzheimer disease,RPL32P21,9:37036250
529,rs721146-<b>A</b>,4e-06,alzheimer disease,LINC01684,21:24540925
286,rs190982-<b>?</b>,4e-06,alzheimer disease,MEF2C-AS1,5:88927603
60,rs73681522-<b>A</b>,4e-06,late-onset alzheimers disease,UNKNOWN,7:13656708
516,rs1125355-<b>A</b>,4e-06,alzheimer disease,DAPL1,2:158844068
127,rs117022236-<b>A</b>,4e-06,late-onset alzheimers disease,AKR7A3,1:19288434
128,rs115443594-<b>T</b>,4e-06,late-onset alzheimers disease,PRPF19P1,18:65993723
378,rs912330-<b>?</b>,4e-06,alzheimer disease,STK24,13:98479040
400,rs9832461-<b>A</b>,4e-06,alzheimer disease,NFU1P1,3:39708102
130,rs142076474-<b>A</b>,4e-06,late-onset alzheimers disease,CEP63,3:134501479
131,rs181299481-<b>A</b>,4e-06,late-onset alzheimers disease,RNY4P18,9:111149099
262,rs78210707-<b>?</b>,4e-06,alzheimer disease,GRIN2B,12:13763366
564,rs4972634-<b>T</b>,4e-06,alzheimer disease,RPSAP24,2:174042477
564,rs4972634-<b>T</b>,4e-06,alzheimer disease,LINC01960,2:174042477
518,rs178585-<b>C</b>,4e-06,alzheimer disease,UNKNOWN,2:211107743
521,rs10018288-<b>G</b>,4e-06,alzheimer disease,LINC00290,4:181180536
521,rs10018288-<b>G</b>,4e-06,alzheimer disease,LINC02500,4:181180536
688,rs10748526-<b>?</b>,4e-06,alzheimer disease,TSPAN14,10:80513323
154,rs190094306-<b>?</b>,4e-06,late-onset alzheimers disease,NHLRC3,13:39050685
260,rs11909995-<b>?</b>,4e-06,alzheimer disease,ATP5PF,21:25725147
52,rs2699450-<b>A</b>,4e-06,late-onset alzheimers disease,CDCA7L,7:22018573
52,rs2699450-<b>A</b>,4e-06,late-onset alzheimers disease,RAPGEF5,7:22018573
576,rs7561207-<b>?</b>,4e-06,alzheimer disease,ANTXR1,2:69138666
679,rs17249850-<b>T</b>,4e-06,alzheimer disease,BANK1,4:101630413
685,rs9787911-<b>?</b>,4e-06,alzheimer disease,NTM,11:131899508
116,rs181990369-<b>A</b>,4e-06,late-onset alzheimers disease,DLC1,8:13182155
569,rs72839770-<b>T</b>,4e-06,alzheimer disease,DVL2,17:7228873
15,rs201879533-<b>?</b>,4e-06,late-onset alzheimers disease,THSD4,15:71746912
113,rs184695264-<b>T</b>,4e-06,late-onset alzheimers disease,LINC02421,12:67780260
684,rs9520713-<b>?</b>,4e-06,alzheimer disease,UNKNOWN,13:108020037
24,rs150061627-<b>T</b>,4.9999999999999996e-06,late-onset alzheimers disease,MIR548Y,14:47737481
24,rs150061627-<b>T</b>,4.9999999999999996e-06,late-onset alzheimers disease,MDGA2,14:47737481
651,rs1172922-<b>A</b>,4.9999999999999996e-06,alzheimer disease,OR7E109P,9:90726252
651,rs1172922-<b>A</b>,4.9999999999999996e-06,alzheimer disease,DIRAS2,9:90726252
50,rs5771225-<b>T</b>,4.9999999999999996e-06,late-onset alzheimers disease,SELENOO,22:50201044
78,rs140587050-<b>C</b>,4.9999999999999996e-06,late-onset alzheimers disease,IRAK1BP1,6:78889320
339,rs6738181-<b>A</b>,4.9999999999999996e-06,alzheimer disease,DSTNP5,2:204263298
396,rs6856768-<b>?</b>,4.9999999999999996e-06,alzheimer disease,RN7SKP199,4:30466544
380,rs17511627-<b>C</b>,4.9999999999999996e-06,alzheimer disease,ATP8A2P3,13:26150190
